Column1,Column2,Column3
-1831,-3466,-4441
-2084,-3859,-4501
-2223,-3986,-4504
-2545,-4217,-4504
-2686,-4251,-4504
-2765,-4251,-4504
-2815,-4256,-4504
-2940,-4265,-4504
-2991,-4275,-4439
-3067,-4288,-4416
-3272,-4241,-4391
-3388,-4084,-4084
-3519,-3869,-3813
-3623,-3812,-3731
-3685,-3818,-3437
-3806,-3761,-3062
-3920,-3707,-2844
-3943,-3693,-2817
-3986,-3676,-2801
-4003,-3637,-2774
-3999,-3571,-2769
-3932,-3611,-2752
-3822,-3532,-2736
-3765,-3649,-2927
-3773,-3616,-3021
-3582,-3667,-3216
-3579,-3712,-3137
-3427,-3649,-3186
-3155,-3591,-3142
-3151,-3612,-3065
-3088,-3622,-3029
-3015,-3299,-2990
-3003,-3127,-2957
-2878,-3115,-2878
-2784,-2961,-2771
-2732,-2805,-2659
-2669,-2579,-2591
-2498,-2495,-2301
-2260,-2496,-2242
-2149,-2474,-2191
-2118,-2482,-2136
-2048,-2366,-2077
-1991,-2270,-2026
-1902,-2187,-1978
-1740,-2186,-1925
-1696,-2162,-1841
-1493,-2108,-1826
-1195,-1983,-1795
-970,-1967,-1782
-913,-1942,-1732
-704,-1874,-1723
-655,-1863,-1630
-668,-1771,-1623
-685,-1657,-1527
-699,-1589,-1438
-706,-1336,-1137
-706,-1325,-960
-816,-1089,-909
-1040,-1089,-534
-1159,-1089,-530
-1353,-1089,-378
-1358,-1089,-378
-1420,-1089,-378
-1814,-1127,-378
-1983,-1204,-378
-2378,-1437,-378
-2451,-1893,-925
-2461,-2090,-1197
-2583,-2219,-1442
-2907,-2551,-1791
-3112,-2803,-2009
-3177,-2855,-2399
-3386,-3035,-2480
-3477,-3116,-2538
-3896,-3127,-2636
-4230,-3729,-2686
-4549,-3736,-2859
-4735,-4110,-2824
-5234,-4091,-2875
-5432,-4210,-2808
-5376,-4132,-2732
-5317,-4054,-2660
-5250,-3969,-2595
-5162,-3877,-2513
-5087,-3690,-2434
-4901,-3564,-2193
-4763,-3464,-2090
-4545,-3313,-1946
-4403,-3197,-1849
-4270,-3073,-1758
-4145,-2932,-1687
-3922,-2807,-1582
-3778,-2633,-1487
-3605,-2534,-1496
-3457,-2475,-1445
-3382,-2403,-1380
-3390,-2325,-1329
-3367,-2412,-1263
-3312,-2528,-1214
-3352,-2427,-1142
-3533,-2403,-1054
-3539,-2274,-936
-3789,-2411,-844
-3716,-2217,-650
-3658,-2128,-498
-3495,-2064,-329
-3531,-1922,-209
-3440,-1672,50
-3265,-1442,298
-3022,-1234,459
-2751,-1004,683
-2476,-784,882
-2257,-508,1043
-2044,-232,1149
-1829,53,1285
-1570,307,1412
-1290,529,1416
-995,720,1450
-699,907,1525
-627,1075,1473
-404,1224,1402
-163,1140,1293
-14,1286,1128
-217,915,1169
-172,718,860
-144,498,921
-145,338,817
-253,181,273
-255,-33,276
-303,-186,291
-684,-517,304
-1433,-1027,316
-1527,-1411,109
-1692,-1842,92
-1853,-1810,163
-2001,-1905,224
-2141,-1862,298
-2167,-1829,362
-2187,-1790,400
-2246,-1759,436
-2258,-1766,473
-2293,-1755,466
-2303,-1733,500
-2303,-1722,535
-2248,-1685,508
-2232,-1589,324
-1974,-1508,374
-1848,-1476,440
-1693,-1442,489
-1600,-1307,764
-1350,-1286,802
-1278,-807,840
-1260,-587,952
-1250,-558,1126
-1239,-528,1283
-1130,-415,1310
-1103,-365,1478
-1022,-341,1651
-997,-57,1879
-932,-2,1884
-811,297,2019
-801,303,2044
-644,388,2121
-639,676,2209
-516,1035,2152
-527,1247,2082
-538,1192,2010
-547,1134,1943
-554,1108,1926
-625,1048,1907
-679,1053,1877
-771,918,1840
-801,833,1795
-872,665,1623
-946,536,1595
-998,387,1546
-1018,262,1433
-1016,-58,1179
-1010,-457,768
-962,-675,444
-707,-770,296
-593,-1005,-346
-415,-1044,-541
-403,-1081,-666
-435,-1095,-757
-479,-1158,-907
-514,-1228,-928
-548,-1315,-978
-597,-1373,-916
-1323,-1433,-853
-1372,-1653,-944
-1889,-1783,-727
-2240,-1889,-668
-2509,-1916,-588
-3324,-2205,-526
-3318,-2434,-523
-3834,-2569,-492
-3956,-2713,-657
-4261,-3397,-809
-4453,-3775,-865
-4558,-3936,-1049
-4558,-4522,-1420
-4841,-4691,-1427
-4842,-4761,-1582
-4842,-4844,-2156
-4758,-4844,-2174
-4770,-4844,-2268
-4611,-4844,-2489
-4538,-4844,-2489
-4262,-4750,-2489
-3896,-4750,-2489
-3660,-4451,-2516
-3043,-4034,-2570
-2697,-3547,-2468
-2308,-3079,-2179
-1970,-2753,-2189
-1285,-2327,-2149
-1203,-2026,-2019
-134,-779,-1509
13,-440,-1205
408,-15,-1072
562,609,-248
740,984,-135
767,1389,450
