-2880,-4464,-3733
-2713,-4403,-3626
-2376,-3643,-3596
-1703,-3342,-3496
-1655,-2991,-3338
-1500,-2444,-3301
-1303,-2268,-2657
-1224,-2178,-2636
-929,-2140,-2296
-756,-2028,-2259
-706,-1721,-2247
-674,-1669,-2209
-272,-1352,-2008
-125,-1106,-1904
80,-1039,-1836
156,-737,-1622
175,-566,-1488
212,-533,-1467
219,-502,-1444
225,-454,-1418
228,-363,-1363
226,-407,-1339
133,-339,-1273
-9,-327,-1075
-109,-248,-933
-152,-305,-840
-201,-281,-762
-319,-292,-742
-407,-381,-691
-564,-499,-556
-632,-608,-494
-858,-625,-422
-858,-678,-361
-885,-685,-358
-887,-693,-353
-1105,-724,-358
-1267,-745,-365
-1279,-902,-334
-1285,-925,-337
-1325,-1047,-339
-1326,-1056,-375
-1328,-1188,-379
-1320,-1202,-355
-1316,-1233,-218
-1351,-1250,-387
-1338,-1268,-402
-1323,-1289,-426
-1303,-1317,-367
-1246,-1339,-432
-1243,-1301,-435
-1232,-1199,-431
-1202,-1131,-90
-1049,-1011,14
-816,-975,4
-719,-564,-7
-344,-359,166
-44,304,563
-46,452,740
-6,520,775
97,551,803
414,841,836
628,919,836
726,1006,805
866,1006,805
909,1122,805
993,1130,790
1015,1378,759
1240,1378,740
1281,1410,709
1456,1378,697
1459,1410,694
1465,1410,539
1471,1410,338
1511,1337,256
1510,1343,255
1527,1332,263
1519,1355,275
1508,1359,296
1493,1383,324
1473,1372,352
1537,1428,428
1524,1431,463
1471,1466,612
1426,1405,639
1388,1355,672
1400,1376,713
1389,1327,680
1393,1345,723
1405,1407,712
1411,1409,741
1518,1673,712
1933,1674,712
2244,1725,595
2266,2052,565
2531,2109,565
2806,2123,534
3088,2126,565
3584,2368,565
3717,2445,565
3765,2445,534
4016,2476,534
4016,2465,522
4011,2465,498
4006,2639,497
4006,2614,472
3759,2602,459
3629,2602,446
3606,2542,433
3543,2401,421
3419,2326,396
3347,2218,371
3189,2031,314
3123,2017,286
2878,1946,40
2839,1779,-5
2344,1750,-18
2178,1330,-43
1401,1282,-105
1341,943,-136
941,668,-414
347,341,-807
295,254,-869
-731,-544,-1397
-883,-550,-1450
-1596,-1214,-1706
-1927,-1472,-2027
-2694,-2150,-2379
-3068,-2916,-2964
-3377,-3451,-3396
-3978,-3605,-3712
-4706,-4577,-3963
-4975,-4599,-4104
-5066,-5105,-4348
-5331,-5452,-4663
-5942,-6158,-5055
-6007,-6342,-5164
-6054,-6354,-5149
-6185,-6898,-5431
-6232,-6871,-5422
-6278,-6837,-5322
-6320,-6789,-5171
-6395,-6733,-4984
-6420,-6577,-4769
-6476,-6533,-4546
-6291,-6468,-4080
-6242,-5865,-3823
-6105,-5641,-3452
-6024,-5441,-3095
-5858,-4957,-2724
-5544,-4427,-2353
-5279,-4121,-1934
-4980,-3489,-1395
-4882,-3320,-1211
-4712,-3060,-1039
-4569,-2759,-850
-4433,-2568,-701
-4334,-2382,-244
-4233,-2269,17
-4145,-2181,155
-4058,-2094,213
-3997,-2006,282
-3957,-2002,372
-3934,-1952,489
-3996,-2080,590
-4259,-2027,693
-4402,-2009,796
-4432,-2009,870
-4454,-2027,938
-4497,-2062,1110
-4551,-1853,1148
-4643,-1925,1071
-4629,-2059,974
-4767,-2075,846
-4540,-2143,714
-4416,-2004,554
-4183,-2128,381
-3932,-2127,143
-3967,-2218,-181
-3766,-2134,-467
-3540,-2249,-749
-3305,-2569,-985
-3212,-2257,-1126
-2900,-2468,-1462
-2711,-2666,-1715
-2158,-2642,-2124
-1712,-2505,-2828
-1108,-2387,-2937
-892,-2329,-3672
-635,-2392,-3694
-406,-2287,-4033
-277,-2430,-4173
-100,-2361,-4324
144,-2424,-4751
439,-2591,-5072
538,-2532,-5270
635,-2495,-5267
671,-2456,-5241
725,-2416,-5215
742,-2396,-5189
972,-2392,-5163
1070,-2265,-5136
1185,-2005,-5061
1467,-1890,-4811
1626,-1508,-4558
1833,-1309,-4445
2175,-875,-4234
2301,-749,-4207
2376,-399,-4182
2564,-399,-4044
2609,-140,-4000
2633,-47,-3758
2645,-61,-3783
2622,215,-3823
2598,169,-3848
2574,123,-3830
2526,76,-3878
2377,29,-3770
2365,-21,-3746
2053,-224,-3778
1694,-405,-3820
1234,-552,-3769
1177,-772,-3726
697,-1117,-3738
316,-1194,-3742
249,-1318,-3763
165,-1462,-3824
-62,-1594,-3864
-319,-1961,-3904
-358,-2162,-3943
-474,-2358,-3983
-506,-2495,-4013
-541,-2534,-4055
-567,-2634,-4259
-646,-2754,-4311
-634,-2754,-4311
-609,-2832,-4311
-511,-2832,-4311
-418,-2821,-4311
-246,-2714,-4311
-141,-2578,-4021
-21,-2453,-3995
45,-2415,-3892
392,-1885,-3504
614,-1489,-3377
708,-1384,-3200
1320,-1161,-3092
1495,-898,-3018
2223,-197,-2584
2307,234,-2286
2477,342,-1768
2725,584,-1591
2873,675,-1240
2972,772,-966
3137,966,-876
3188,1075,-802
3271,1589,107
3310,2088,150
3310,2109,1100
3304,2954,1508
3284,3049,2431
3264,3059,2514
3169,3073,3410
2872,3088,3563
2800,3103,4394
2365,3118,4424
2302,3071,4567
2098,3091,4785
1693,3062,4803
1557,2757,4811
1307,2630,4811
1051,2285,4811
966,2239,4811
907,2010,4564
590,1601,4361
567,1263,4333
200,1167,3962
-14,760,3908
-127,694,3683
-158,447,3487
-158,310,3341
-158,201,2625
-118,191,2581
-98,171,2391
10,142,2240
24,98,2004
94,85,1814
132,69,1695
239,163,1602
239,159,1456
268,180,1431
268,169,1349
268,187,1319
239,167,1290
145,178,1468
105,175,1450
113,341,1569
-84,544,1787
-92,557,1874
-100,574,2163
-108,595,2169
-112,844,2322
-112,953,2564
30,1155,2569
131,1556,2732
890,2008,3039
927,2549,3046
980,2719,3046
1057,2725,3046
1276,2893,3055
1444,3084,3024
1534,3159,3007
2062,3247,2821
2314,3314,2715
2540,3523,2572
2633,3222,2371
2718,3336,2218
